"""Price"",""State_exam"",""Budget_places"",""Average_salary"",""Doctors_percentage"",""Average_income_region"",""Number_of_students"""
"71100,""63"",""838"",""47000"",""11.6"",""22639"","""""
"50000,"""",""0"",""50100"",""8.51"",""59898"",""380"""
"240000,""72.2"",""24"",""41500"",""14.88"",""59898"",""324"""
"60000,""38.3"",""124"",""43000"",""3.448275862069"",""59898"",""2000"""
"47000,"""","""",""38500"",""9.41"",""59898"",""2800"""
"48300,"""",""20"",""43020"",""11.76"",""59898"",""4307"""
"200000,""72.4"",""23"",""62800"",""28.91"",""59898"",""330"""
"42360,""71.7"",""413"",""71000"",""16.47"",""18267"",""4000"""
"31800,""36"",""1137"",""68000"",""8.695652173913"",""18267"","""""
"42360,""71.7"",""413"",""65000"",""15"",""18267"","""""
"97713,""57.48"",""588"",""47500"",""3.06"",""30232"",""7082"""
"73900,""62"",""843"",""63000"",""8.6538461538461"",""31373"",""6544"""
"78000,""60"",""930"",""67200"",""11.47"",""24065"","""""
"78000,""62.26"",""1635"","""",""9.54"",""24065"","""""
"34200,""44.7"",""916"",""67000"",""9.7560975609756"",""25897"",""7236"""
"23200,""43.3"",""886"",""44000"",""12.9"",""28327"","""""
"36680,""41.3"",""1898"",""60000"",""19"",""28327"",""25000"""
"69510,""66"",""844"",""70000"",""8.9"",""25375"","""""
"94500,""49"",""717"","""",""7.08"",""25486"","""""
"55000,""61"",""949"",""50000"",""9.88"",""25486"","""""
"71380,""62"",""2321"",""66000"",""9.97"",""23732"","""""
"73800,""43.666666666667"",""1146"",""45000"",""8.82"",""21724"","""""
"38500,""48.7"",""600"",""50000"",""14.88"",""30109"",""7875"""
"26000,""35.7"",""834"",""63000"",""10.98"",""21724"","""""
"30840,""36.3"",""950"",""67000"",""13.91"",""21724"","""""
"70000,""51.85"",""639"",""55000"",""1.0700909577314"",""30837"",""18000"""
"49300,""55"",""502"","""",""5.9"",""25602"","""""
"19100,""33.3"",""1028"",""43000"",""12"",""30109"",""8400"""
"49000,""79"",""135"",""58500"",""14.09"",""30109"",""16245"""
"30000,""36"",""1634"",""64000"",""17.532467532467"",""30109"","""""
"73200,""81"",""65"","""",""20"",""30109"","""""
"80000,""55.8"",""159"",""93000"",""8.59"",""59898"",""5250"""
"104000,""80"",""151"",""60000"",""15.89"",""59898"",""20000"""
"210000,""67.8"",""25"",""87000"",""25.39"",""59898"",""2100"""
"76400,""53"",""593"",""49000"",""8.27"",""22170"",""5542"""
"73218,""66"",""1558"",""67500"",""10.041841004184"",""22170"",""25000"""
"32000,""36.7"",""142"",""60000"",""5.45"",""24590"",""2859"""
"88000,"""",""5"",""87000"",""10.11"",""59898"",""1000"""
"115600,""68"",""25"",""50000"",""9.31"",""59898"",""2515"""
"69600,""72.7"",""77"",""65000"",""17.9"",""59898"",""5360"""
"45000,"""",""555"",""45000"",""10.87"",""59898"",""4000"""
"115600,""86"",""134"",""43000"",""22.86"",""59898"",""2060"""
"56000,""69"",""0"",""45000"",""23.076923076923"",""24719"",""2573"""
"116930,""67.99"",""372"",""55000"",""4.5307443365696"",""31373"",""5194"""
"200000,""65"",""44"",""113000"",""29.93"",""59898"",""1202"""
"37400,""34.3"",""503"",""32000"",""9.32"",""59898"",""6321"""
"70000,""67.7"",""110"",""80000"",""20.689655172414"",""59898"",""19712"""
"64000,""50"","""",""70000"",""8.13"",""59898"",""3208"""
"25000,"""","""",""56000"",""5.56"",""59898"",""9749"""
"80400,"""",""0"","""","""",""59898"","""""
"79800,"""",""0"","""",""12.307692307692"",""59898"",""813"""
"38421,""40"",""300"",""50000"",""6.69"",""26739"","""""
"66800,""61"",""151"",""50000"",""11.73"",""26739"","""""
"50000,""33"",""2469"",""60000"",""10.515151515151"",""33018"",""33000"""
"330000,""92"",""45"",""60000"",""27.89"",""59898"",""38900"""
